Topic,Bloom’s Taxonomy,Difficulty,Question
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Analyze,Medium,1. **Question 1:** Compare and contrast the use of structures and unions in C programming. In what scenarios would using a union be more beneficial than a structure? Provide examples to support your analysis.
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Analyze,Medium,"2. **Question 2:** Given a structure that includes another structure as a member (nested structures), demonstrate how you would initialize and access the members of both the parent and nested structures. What are the potential advantages of using nested structures in complex data modeling?"
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Analyze,Medium,"3. **Question 3:** In the context of structure operations, analyze the implications of copying structures versus comparing their values. Discuss the differences in memory handling and possible pitfalls when using these operations in a large-scale application, including examples."
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Analyze,Medium,"4. **Question 4:** Consider an array of structures and a structure containing an array. Analyze the differences in memory allocation, initialization, and access methods for these two data arrangements. How would these differences influence performance in terms of time complexity during runtime?"
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Analyze,Medium,5. **Question 5:** Evaluate the role of enumerated data types and bit fields within structures. How do these features enhance data representation and manipulation in programming? Provide scenarios where utilizing enumerated types and bit fields would improve code clarity and efficiency.
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Evaluate,Medium,"Here are five unique questions related to Unit II: User Defined Data Types (Structures, Unions, and Enumerated Data Types) that align with the ""Evaluate"" level of Bloom’s Taxonomy and have a medium difficulty level:"
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Evaluate,Medium,"1. **Evaluation of Efficiency**: Compare and contrast the use of structures and unions in memory allocation. Under what circumstances would you recommend using a union over a structure, and why? Provide examples to support your evaluation."
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Evaluate,Medium,"2. **Assessment of Data Management**: Given a scenario where you are managing employee records that include various types of data (name, ID, salary, and department), evaluate the effectiveness of using nested structures versus an array of structures. What are the advantages and disadvantages of each approach in terms of data access and modification?"
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Evaluate,Medium,3. **Critical Analysis of Data Types**: Analyze the impact of using enumerated data types in a program that handles different states of a traffic light system. How do enumerated types enhance code readability and maintainability in comparison to integer constants? Provide a code sample to illustrate your points.
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Evaluate,Medium,4. **Comparison of Structure Operations**: Evaluate the implications of implementing structure copying versus structure pointers in a program that processes large datasets. Discuss the memory and performance trade-offs associated with each method in your evaluation.
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Evaluate,Medium,"5. **Integration of Advanced Concepts**: Assess the use of an array within a structure that also contains a pointer to another structure. In what scenarios could this design lead to complexities in memory management? Illustrate your evaluation with a practical example, including potential pitfalls and best practices."
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Evaluate,Medium,These questions are designed to encourage critical thinking and deeper understanding of the concepts surrounding user-defined data types and their operations.
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Create,Medium,"Here are five unique questions based on the specified topic ""Unit II: User Defined Data types – Structures, Union, and Enumerated data type,"" focusing on the creation level of Bloom's Taxonomy:"
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Create,Medium,"1. **Design a Data Management System:** Create a structure to manage a simple library system where each book has attributes like title, author, year of publication, and a boolean to check if it is currently checked out. Design a function that allows users to add new books to the system and outputs the current list of available books in a user-friendly format."
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Create,Medium,"2. **Implement a Complex User Profile:** Develop a structure that represents a user profile for an online platform. This structure should include basic information, an array for a list of friends (with names and user IDs), and a nested structure for user statistics (like number of posts, likes, and comments). Implement a function that can initialize this structure and display the profile information in a formatted way."
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Create,Medium,3. **Create an Inventory Management System:** Build an inventory system using unions and structures where each inventory item can either be a book or a multimedia item (such as a DVD). Define an enumerated data type for item categories and write a function that takes an array of this structure and prints the items based on their category.
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Create,Medium,"4. **Design a Custom Data Type for a Game:** Create an enumerated data type to represent the different states of a game character (e.g., Idle, Attacking, Defending, and Dead). Furthermore, build a structure that encapsulates character attributes including health, strength, and the current state. Design and implement a function that updates the character state based on player actions and prints the current status."
"Unit II: User Defined Data types – Structures, Union and Enumerated data type. 

Basic structure operations- Declaring structures and structure variables, Accessing the members of the structure, Initialization of Structures, Structure comparisons and copying, type def and its use.

Advanced - Nested structures, Array within the structure and Array of structures, Structures with functions and structures with pointers. Union and its operations

Enumerated data type, bit field",Create,Medium,"5. **Bit Field for Compact Data Representation:** Develop a structure using bit fields to compactly store a set of flags representing different user settings (like notifications, privacy settings, and theme). Write a function to initialize this structure, modify specific bits based on the user's preferences, and output the current setting statuses in a clear format."
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Remember,Medium,"Here are five unique questions for the topic ""Unit III: Files in C"" that align with Bloom's Taxonomy level ""Remember"" and have a medium level of difficulty:"
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Remember,Medium,1. **What are the primary differences between text files and binary files in C? Provide specific characteristics of each type.**
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Remember,Medium,"2. **Describe the purpose of the `fopen()` and `fclose()` functions in C. What are the parameters required by `fopen()`, and what does each of the modes (e.g., ""r"", ""w"", ""a"") signify?**"
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Remember,Medium,3. **List at least three file functions used for reading data from files in C. Explain briefly how each function operates.**
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Remember,Medium,4. **What is the significance of the `EOF` constant in file handling in C? How can the `feof()` function be used to detect the end of a file?**
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Remember,Medium,"5. **In C, what are the differences between sequential access and random access to files? Provide examples of functions used for random access file operations.**"
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Understand,Medium,"Here are five unique questions on the topic ""Unit III: Files in C,"" crafted to align with Bloom’s Taxonomy level ""Understand"" and at a medium difficulty level:"
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Understand,Medium,1. **Explain the purpose and differences between text files and binary files in C. How does the way data is stored in each type affect how you read from or write to these files?**
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Understand,Medium,2. **Describe the various modes in which a file can be opened in C using the `fopen()` function. Provide examples of scenarios where each mode might be appropriately used.**
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Understand,Medium,3. **What is the significance of the EOF (End of File) marker in C? Explain how the `feof()` function can be used in a program to manage file reading operations correctly.**
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Understand,Medium,"4. **Compare and contrast sequential access with random access for file operations in C. How would you use functions like `fseek()`, `ftell()`, and `rewind()` to navigate through a file? Provide examples to illustrate your answer.**"
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Understand,Medium,5. **Discuss the process and importance of error handling during file operations in C. What are the roles of the `clearerr()` and `perror()` functions in managing file-related errors?**
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Apply,Medium,"Here are five unique questions based on ""Unit III: Files in C,"" targeting the ""Apply"" level of Bloom's Taxonomy and having a medium difficulty level:"
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Apply,Medium,"1. **Question 1**: Write a C program that prompts the user to enter five integers, stores them in a file, and then reads the integers back from the file to display them. Ensure to implement error handling to check if the file operations were successful."
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Apply,Medium,"2. **Question 2**: Explain how you would use `fwrite()` and `fread()` to store and retrieve a structure representing a student record. Create a sample program that includes defining the structure, writing multiple records to a binary file, and reading them back using the appropriate file functions."
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Apply,Medium,"3. **Question 3**: In a given C program, you have a text file named ""data.txt"" containing names. Modify the program to include functionality that allows you to append a new name to this file without overwriting its existing content. Describe the mode used for opening the file and the function used to write the new name."
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Apply,Medium,"4. **Question 4**: Demonstrate the use of `fseek()`, `ftell()`, and `rewind()` in manipulating a binary file that contains multiple records of a specified structure. Write a code snippet that illustrates moving to a specific record and updating it with new data."
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Apply,Medium,5. **Question 5**: Create a C function that counts the total number of words in a text file. Utilize `fgets()` to read the file line by line and determine word boundaries. Ensure that your function includes proper error handling to address potential issues such as file not found.
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Analyze,Medium,"Here are five unique questions that encourage analysis of the topic ""Unit III: Files in C"" at a medium difficulty level, based on Bloom's Taxonomy:"
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Analyze,Medium,1. **Compare and Contrast**: Analyze the differences between text files and binary files in C. What are the implications of these differences on the way data is read and written? Provide examples of when it would be more advantageous to use one type over the other.
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Analyze,Medium,"2. **Evaluate Function Use**: Given a scenario where a program needs to read from a file containing multiple records of varying lengths, evaluate the appropriateness of using `fgets()` versus `fread()`. What factors should be considered in making this decision, and what effects would each method have on performance and data integrity?"
"Unit III: Files in C 

Introduction – Streams in C, Types of Files.

Files in C – Declaration of File pointer, Opening a File, Closing a file
(fopen(), fclose()), Various modes to open the file.

File  functions  for  Reading  data  from  files  –  fscanf(),  getw(), fgets(), fgetc(), fread()

File functions for writing data to files- fprintf(), putw(), fputs(), fputc(), fwrite()

Detecting the end of the file – what is EOF and feof() function

Types of the files – Binary and Text files.

Types of access to the file – Sequential and Random access, Difference between both, how to read and write data in both the cases, for random access (fseek(), ftell(), rewind(), fgetpos(), fsetpos())

Error handling during File operations – clearer(), Perror()

Files  of  records  –  Working  with  files  of  records  (fread()  and fwrite()).

Other functions – Renaming a file, Removing a file, Command line
Arguments.",Analyze,Medium,3. **Assess Error Handling**: Analyze how the error handling functions `clearerr()` and `perror()` can be used to improve the robustness of file handling operations in C. Discuss how they could be integrated into a file reading/writing workflow to enhance error detection and recovery.
